"Subject","Start Date","Start Time","End Date","End Time","Description","Location"
"Cardio Zone2 & Abs","2024-10-14","07:00","2024-10-14","08:00","Workout","Gym"
"Journal & Meditation","2024-10-14","08:00","2024-10-14","08:30","Journaling and meditation","Home"
"Shower & Breakfast","2024-10-14","08:30","2024-10-14","09:00","Personal care and breakfast","Home"
"Drive to Miami","2024-10-14","09:00","2024-10-14","10:00","Travel time","On the road"
"Quest Diagnostic Result","2024-10-14","09:45","2024-10-14","10:00","Diagnostic result appointment","Quest Diagnostics"
"Apply to Jobs","2024-10-14","10:00","2024-10-14","10:30","Job applications (5 minimum)","Home"
"Data Mining Class","2024-10-14","11:00","2024-10-14","12:15","Class attendance","University"
"AI Class","2024-10-14","12:30","2024-10-14","13:45","Class attendance","University"
"Database Management Class","2024-10-14","14:00","2024-10-14","15:15","Class attendance","University"
"Lumen HireVue Behavioral Interview","2024-10-14","15:30","2024-10-14","16:00","Behavioral interview","Virtual"
"LeetCode Practice","2024-10-14","16:00","2024-10-14","17:00","Practice coding problems","Home"
"Homework (Data Mining HW)","2024-10-14","17:00","2024-10-14","18:00","Data Mining homework due","Home"
"LeetCode Practice","2024-10-14","18:00","2024-10-14","19:00","Practice coding problems","Home"
"Meal Prep & Plan Week","2024-10-14","19:00","2024-10-14","20:00","Prepare meals for the week","Home"
"Respond to Emails","2024-10-14","20:00","2024-10-14","20:10","Reply to emails","Home"
"Date Idea Planning for Taylor","2024-10-14","20:10","2024-10-14","20:35","Plan date ideas","Home"
"Read","2024-10-14","21:00","2024-10-14","21:15","Reading time before bed","Home"
"Legs Workout","2024-10-15","07:00","2024-10-15","08:00","Legs workout session","Gym"
"Journal & Meditation","2024-10-15","08:00","2024-10-15","08:30","Journaling and meditation","Home"
"Shower & Breakfast","2024-10-15","08:30","2024-10-15","09:00","Personal care and breakfast","Home"
"Book Therapist/Reply to Email & Apply to Jobs","2024-10-15","09:45","2024-10-15","10:15","Schedule therapist and apply to jobs","Home"
"Wise OA","2024-10-15","11:00","2024-10-15","13:00","Online assessment preparation","Home"
"AI Class","2024-10-15","12:30","2024-10-15","13:45","Class attendance","University"
"Database Management Class","2024-10-15","14:00","2024-10-15","15:15","Class attendance","University"
"LeetCode Practice","2024-10-15","15:15","2024-10-15","16:00","Practice coding problems","Home"
"Homework (Net Midterm Study)","2024-10-15","16:00","2024-10-15","17:00","Study for Net Midterm","Home"
"Anthony LeetCode Session","2024-10-15","18:00","2024-10-15","19:00","LeetCode session with Anthony","Virtual"
"Move MDC to Other Account","2024-10-15","19:00","2024-10-15","19:30","Move account information","Home"
"Move MDC Platform Accounts to New Email","2024-10-15","19:30","2024-10-15","19:45","Transfer accounts to new email","Home"
"Read","2024-10-15","21:00","2024-10-15","21:15","Reading time before bed","Home"
"Chest Workout","2024-10-16","07:00","2024-10-16","08:00","Chest workout session","Gym"
"Journal & Meditation","2024-10-16","08:00","2024-10-16","08:30","Journaling and meditation","Home"
"Shower & Breakfast","2024-10-16","08:30","2024-10-16","09:00","Personal care and breakfast","Home"
"Google Interview Booking","2024-10-16","10:00","2024-10-16","10:30","Schedule Google interview","Home"
"Breakfast","2024-10-16","10:30","2024-10-16","11:00","Have breakfast","Home"
"Data Mining Class","2024-10-16","11:00","2024-10-16","12:15","Class attendance","University"
"AI Class","2024-10-16","12:30","2024-10-16","13:45","Class attendance","University"
"Database Management Class","2024-10-16","14:00","2024-10-16","15:15","Class attendance","University"
"Cisco Event","2024-10-16","15:30","2024-10-16","16:00","Attend Cisco event","Virtual"
"CodePath Event","2024-10-16","16:00","2024-10-16","17:00","Attend CodePath event","Virtual"
"LeetCode Practice","2024-10-16","17:00","2024-10-16","18:00","Practice coding problems","Home"
"Homework (Data Mining Project)","2024-10-16","18:00","2024-10-16","19:00","Work on Data Mining project","Home"
"Read","2024-10-16","21:00","2024-10-16","21:15","Reading time before bed","Home"
"Arms Workout","2024-10-17","07:00","2024-10-17","08:00","Arms workout session","Gym"
"Journal & Meditation","2024-10-17","08:00","2024-10-17","08:30","Journaling and meditation","Home"
"Shower & Breakfast","2024-10-17","08:30","2024-10-17","09:00","Personal care and breakfast","Home"
"Roblox OA","2024-10-17","10:00","2024-10-17","12:00","Online assessment preparation","Home"
"Joe LeetCode Discord Session","2024-10-17","12:30","2024-10-17","13:30","LeetCode session on Discord","Virtual"
"Homework (Net Midterm Study)","2024-10-17","13:30","2024-10-17","14:00","Study for Net Midterm","Home"
"LeetCode Practice","2024-10-17","14:00","2024-10-17","15:00","Practice coding problems","Home"
"Apply to Jobs","2024-10-17","15:00","2024-10-17","16:00","Job applications (5 minimum)","Home"
"Canine Crew Walk Event","2024-10-17","18:00","2024-10-17","19:00","Participate in dog walk event","Park"
"Respond to Emails","2024-10-17","19:00","2024-10-17","20:00","Reply to emails","Home"
"Read","2024-10-17","21:00","2024-10-17","21:15","Reading time before bed","Home"
"Back Workout","2024-10-18","07:00","2024-10-18","08:00","Back workout session","Gym"
"Journal & Meditation","2024-10-18","08:00","2024-10-18","08:30","Journaling and meditation","Home"
"Shower & Breakfast","2024-10-18","08:30","2024-10-18","09:00","Personal care and breakfast","Home"
"Study (Net Midterm)","2024-10-18","10:00","2024-10-18","10:30","Study for Net Midterm","Home"
"BJJ Workout","2024-10-18","11:00","2024-10-18","12:00","Attend BJJ class","Gym"
"AI Class","2024-10-18","12:30","2024-10-18","13:45","Class attendance","University"
"Database Management Class","2024-10-18","14:00","2024-10-18","15:15","Class attendance","University"
"LeetCode Practice","2024-10-18","15:15","2024-10-18","16:00","Practice coding problems","Home"
"Homework (Data Mining Project)","2024-10-18","16:00","2024-10-18","17:00","Work on Data Mining project","Home"
"Read","2024-10-18","21:00","2024-10-18","21:15","Reading time before bed","Home"
